City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
134,pilar,20,AR,1554478707,59,-34.46,-58.91,69.01,8.05
135,avera,90,US,1554478746,93,33.19,-82.53,66.99,6.93
136,pangkalanbuun,44,ID,1554478790,94,-2.68,111.62,75.59,2.82
137,east london,90,ZA,1554476400,87,-33.02,27.91,60.8,4.7
138,tamandare,32,BR,1554478800,73,-8.28,-70.75,87.65,3.83
139,sarangpur,12,IN,1554478801,43,23.57,76.47,78.11,4.16
140,ribeira grande,40,PT,1554478200,59,38.52,-28.7,60.8,19.46
141,lata,80,IN,1554478802,100,30.78,78.62,49.49,1.59
142,dale,44,CN,1554478803,90,24.09,109.99,61.64,2.48
143,pasni,36,PK,1554478803,69,25.26,63.48,84.23,17.69
144,esperance,40,TT,1554478249,62,10.24,-61.45,87.01,13.87
145,qaqortoq,40,GL,1554475800,37,60.72,-46.03,37.4,43.62
146,klenovyy,0,UA,1554478803,50,48.12,39.46,49.76,3.38
147,hofn,0,IS,1554476400,48,64.25,-15.21,44.6,12.75
148,yerbogachen,88,RU,1554478611,76,61.28,108.01,25.82,4.27
149,bourail,44,NC,1554478804,95,-21.57,165.5,69.83,4.94
150,tomatlan,12,MX,1554478804,63,19.93,-105.25,74.96,3.6
151,yunyang,0,CN,1554478800,37,32.84,110.81,60.01,1.01
152,shitanjing,24,CN,1554478805,12,39.23,106.34,54.17,6.17
153,port blair,0,IN,1554478512,100,11.67,92.75,85.49,3.71
154,lazaro cardenas,75,MX,1554478690,33,28.39,-105.62,68.0,6.93
155,vao,12,EE,1554478805,68,59.1,26.19,48.68,5.17
156,namatanai,68,PG,1554478806,100,-3.66,152.44,80.54,3.71
157,san jose,0,PH,1554478806,97,15.79,120.99,70.28,1.92
158,sur,24,OM,1554478806,79,22.57,59.53,81.89,3.6
159,thompson,40,CA,1554476940,85,55.74,-97.86,10.4,6.93
160,ola,48,RU,1554478806,82,59.58,151.3,33.29,21.27
161,san antonio,0,CL,1554476400,64,-33.58,-71.61,71.6,5.82
162,rio grande,75,BR,1554476400,73,-32.03,-52.1,73.4,18.34
163,dunda,80,IN,1554478808,100,30.62,78.32,49.49,1.59
164,faya,40,SA,1554476400,60,18.39,42.45,73.4,11.41
165,san patricio,92,PY,1554478808,81,-26.98,-56.83,64.79,8.52
166,maniitsoq,80,GL,1554478808,87,65.42,-52.9,34.91,9.64
167,kushiro,0,JP,1554478809,86,43.11,144.15,30.32,9.31
